파스텔 기본 네일로 하려구요.,パステルのベーシックネイルにしようと思います。
얼른 정리할게요.,すぐに片付けます。
그건 내가 할 말이고~!,それは私が言うことだ~!
면세점이 확실히 화장품이 저렴해.,免税店のほうが確かに化粧品が安い。
그리고 우리 뭐 좀 먹자.,そして私たち何か食べよう。
여기서 직진해서 사거리에서 우회전 하면 나와요.,この道をまっすぐ行って、四つ角を右に曲がると出ます。
그렇게 하려면 얼마나 걸릴까요?,そうすると、時間がどのくらいかかりますか。
가는길에 검색해봐.,行く途中で検索してみて。
난 한동안 완전 놀이공원에 미쳐서 일주일에 한번씩은 왔었어.,私はしばらくの間、完全に遊園地に夢中になって、週に一回は来ていたよ。
그냥 가서 먹으면 안될까?,そのまま行って食べてはいけないかな?
"아니에요, 저도 잘 부탁드립니다.",いいえ、私もよろしくお願いします。
오늘은 일정이 따로 없나요?,今日は日程が特にないんですか。
요즘 제일 잘나가는 라면이 뭔가요?,今一番人気のあるラーメンは何ですか。
나는 싱크홀이나 모가디슈 보고싶어.,私は、シンクホールやモガディシオを見たい。
"제발 정신 좀 차려, 맨날 까먹니?",お願いだからしっかりしてよ、いつも忘れてばかりじゃん。
좀 느끼하지 않을까~?,ちょっと脂っこくないかな~?
그러니깐 마스크는 언제쯤 벗을 수 있으려나 몰라.,だからマスクはいつごろ脱げるかわからない。
금강산도 식후경인데 츄러스부터 먹자~,花より団子なのに、チュロスから食べよう~
그러자 혹시 모르니깐 썬크림도 챙기자.,そうしよう、念のため日焼け止めクリームも用意しておこう。
김밥천국가자 라면은 거기지!,キムパッ天国に行こう、ラーメンはそこだ!
바다는 어때?,海はどう?
알겠어 또다른거있음 그것도사자.,分かった、他に何かあればそれも買おう。
된장하나 사가지고 갈까?,テンジャン一つを持って行きましょうか。
알겠어 화장실 금방다녀올게.,わかった、トイレすぐに行ってくる。
향수 같은 것도 좋아하시고.,香水なんかもお好きで。
나는 5시가 좋을 거 같아.,5時がいいと思う。
그럼 이따 늦지 말고 나와.,では、後で遅れずに出てきてね。
시원하게 얼음 많이 넣어주세요.,冷たくなるように氷を多めに入れてください。
그냥 줄넘기나 하자 그게 좋겠어 달리기는 조금 그래.,縄跳をしよう。それがいいと思う。ランニングはあまりしたくない。
"맞아요, 요즘 바빠서 오랜만에 나왔어요.",そうなんです、最近忙しくて久しぶりに出ました。
서울이랑 별반 다른게 없더라고요.,ソウルと別段違いはありませんでしたね。
한국생활은 어떠세요?,韓国での生活はどうですか?
불편하진 않으세요?,不便ではありませんか?
그러면 나는 잠 좀 더 잘래.,そうすれば、私はもう少し眠る。
근데 생각해보니까 두 명이서 떡볶이 2인분은 너무 적지 않아?,でも、考えてみれば二人でトッポッキ二人前は少なすぎない?
커피랑 비스킷 간단하게 준비해드릴게요.,コーヒーとビスケットを簡単にご用意します。
"귀찮긴하지, 그래도 간만이라 뭔가 설레는거야.",面倒くさいけど、でも久しぶりだから何かわくわくしてるんだよ。
나 사진 잘찍는 팁도 배워왔어.,私は写真をうまく撮るコツも学んできた。
알아놓은곳 있어?,どこか知ってる?
수건 몇 개 준비해드릴까요?,タオルを何枚ご用意しましょうか?
야호 신난다 축구해야지.,やった。嬉しい。サッカーしよう。
좋아 늦잠자다가 나가야겠다.,よし、寝坊してから出かけよう。
강아지들도 귀찮은 게 있나봐요.,子犬たちも面倒なことがあるようです。
게스트하우스는 혼자 올수있어 좋아요.,ゲストハウスは一人で来られていいですよ。
너무 좋다 그럼 우리 오늘 저녁에 만나서 포차갈래?,とてもいいよ。では私たち今晩会って屋台に行かないか?
여기 살치살 스테이크가 엄청 맛있다는데?,ここはサーロインステーキはとてもおいしいそうだけど?
나는 백화점 마니아거든.,私はデパートマニアなんだ。
크림 들어간 것도 맛있대.,クリーム入りも美味しいんだって。
알았어 늦으면 안된다진짜!,分かった遅れるなよ!
필카로 찍으면 감성사진 나오겠지?,フィルムカメラで撮れば感性のある写真が撮れるんだろうね?
한박스 3만원입니다.,一ボックスに3万ウォンです。
어렵네요 시범 한번만 보여주시면 따라할게요.,難しいですね、お手本を見せていただければ、真似しますよ。
따로 생각해둔건 없는데.,別に考えておいたのはないのだが。
맞아 행복 별거 없어~,そうだ幸せたいしたことないよ〜
가장 인기가 많은 곳이기도 하죠 기대해주셔도 좋아요.,一番人気のスポットでもあります、楽しみにしててください。
한복 대여해준다더라.,チマチョゴリをレンタルしてくれるって。
호캉스가 이렇게 맘편하고 즐거운줄 처음 알았어 진짜 종종 오고싶네.,ホテルバカンスがこんなに心が楽で楽しいとは初めて知ったよ、本当にたまに来たいな。
그렇구나 날씨가 중요하네.,なるほど、天気が大事なんだね。
그러시면 감사하죠.,そうしていただけると助かります。
요즘은 흡연실이 따로있어 흡연실에서 먼 자리로 앉자.,最近は喫煙室が別にあるので、喫煙室から遠い席に座ろう。
화장품도 필요해 천천히 보자.,化粧品も必要なのでゆっくり見てみよう。
경복궁보고 점심 먹으러가자.,景福宮を見てランチに行こう。
너무 좋은 계획이다 신난다.,とてもいい計画だね、うれしい。
어어 그럼 내가 아는 곳으로 가자.,あ、それなら私の知っているところに行こう。
"언능 식당가서, 맛있는거 먹으러 가자.",早く食堂に行って、おいしいものを食べよう。
저도 모임에 잘 참가해서 많이 배우고 싶어요.,私も会合によく参加して、たくさん学びたいです。
그럼 2개 시킬께.,では、2つ頼むね。
저는 봉천에서 왔습니다.,私はボンチョンから来ました。
그렇죠 그래서 저는 유학 다녀왔어요.,そうなんです、それで私は留学に行ってきました。
오호 신기한 메뉴네.,なんて変わったメニューでしょう。
일정표 확인 한번 하시구 조절하셔요!,日程表の確認を一度なさって、調節してください!
너도 정말 좋아할꺼야.,あなたもきっと気に入るわよ。
얼른 주문해야겠네요.,早速注文しなければなりませんね。
다음 고객님~,次のお客様~
제가 깔끔한 성격이라서요.,私がきれい好きな性格なので。
탁구채 가져왔어?,卓球ラケット持ってきた?
그거 먼저 시켜서 먹어보자.,それを先に頼んで食べてみよう。
공항에도 환전소 있는 걸로 알고 있는데요.,空港にも両替所があると知っていますけど。
아하 그렇군요 알겠습니다.,なるほど、わかりました。
근데 땀이 많이 나면 꼭 수분 보충을 해줘야 해.,でも、汗を沢山流したら、必ず水分補給をしなければならない。
준비해서 나와.,用意して出て。
선생님~ 2개씩 만들어봐요~,先生~2つずつ作ってみて~
체육반장 시범하는 거 잘 보고 있지요?,体育委員の見本よく見ていますよね?
그래그래 가서 둘러보는것도 나쁘지않겠다.,そうそう、行ってみるのも悪くないだろう。
어벤져스 좋지.,アベンジャーズいいね。
아침 7시 30분에 가져다 주세요.,朝7時30分に持ってきてください。
오늘 한번 먹어봐.,今日一度食べてみて。
네네 무엇을 주문하시겠습니까?,はい、何をご注文なさいますか。
저는 캘리포니아에서 왔습니다~ 타국에서 새로운 인연을 만난다는 건 정말 놀라운 일 같아요 그렇죠?,私はカリフォルニアから来ました~外国で新しい縁に出会うなんて、本当に驚くべきだと思います。そうですよね?
동해도 좋고 서해도 좋고.,東海でも西海でもいい。
내년정도에 계획잡아보려구요.,来年くらいに計画を立ててみようと思います。
제가 한국말을 잘 못해서 그래요.,私が韓国語が下手だからです。
뭘 그렇게 하신다는건가요?,何をするというんですか?
앞으론 서로 더 친절하게 이야기해보자.,これからはお互いにもっと親切に話してみよう。
놀이공원 앞까지 가는 버스가 있나?,遊園地の前まで行くバスはあるかな。
놀이공원 오랜만이다!,遊園地久しぶり!
한국 와보셨어요?,韓国に来たことはありますか。
아니면 위시리스트 확인해봐.,もしくは、ウィッシュリストを確認してみて。
오늘 같은 날은 머니 좀 써야 되는거야.,今日のような日はちょっとお金を使わないと。
저는 바다건너 인도네시아에서 왔습니다.,私は海の向こうのインドネシアから来ました。
구룡포는 이쪽으로 쭉 가셔서 지하철 타셔야 하세요.,九龍浦はこちらをまっすぐ行って、地下鉄に乗ってください。
또 시작인거니 진짜 양심도 없구나.,また始まったか、本当に良心もないんだね。
"경복궁은 지하철역이랑 가까우니까, 3호선을 타면 금방이겠다.",景福宮は地下鉄の駅に近いから、3号線に乗ればすぐだろう。
조식메뉴는 지금이 최고야.,朝食メニューはいまが最高だ。
그 때에 비하면 지금 많이 적응했다.,その時に比べれば、今はかなり慣れている。
얼른 준비하고 나온다구요.,すぐに用意して出てくるって。
잘 모르시나 봐요 한번 검색해 보세요.,よくわからないようですね。一度検索してみてください。
좋은하루되세요 고마워요.,よい一日をお過ごしください。ありがとうございました。
30분 맞춰서 꼭 오세요.,30分に合わせてぜひお越しください。
아맞다 나 신발사야하는데!,ああ、そうだ、私靴を買わないと!
난 예쁜 건 다 사고 싶다 너는?,私は可愛いものは全部買いたい、あなたは?
여기 빈칸 다 채워야하나요?,ここの空欄を全部埋める必要がありますか。
여름이라 네일 하러 오는 사람이 더 많죠?,夏なので、ネイルをしに来る人の方が多いですよね?
너두 같은걸로 사는 구나?,あなたも同じものを買うのね。
거리도 구경할 겸 천천히 걸어가자~!,街中も見物がてら、ゆっくり歩いて行こう~!
한국에서는 이렇게 해서 먹는대.,韓国ではこうやって食べるんだって。
전신 운동이 중요하지.,全身運動が大事です。
만원어치만 주세요.,一万ウォン分だけください。
오늘 일정은 몇시부터 시작일까?,今日の予定は何時からだろう。
아.그럼 그냥 다 함께 운동하러 가요 과제하기 싫어요.,ああ。じゃあ、みんなで一緒に運動しましょう、課題したくないです。
저녁 먹고 난 후에 가면 되겠지?,夕食後に行けばいいよね。
아오리는 여섯개 오천원입니다.,アオリは6つで5千円です。
"비싸다고만 생각했는데, 할인이 생각보다 많이 되는 것 같아~",高いと思っていたけど、思ったよりたくさん割引されるみたいだね~
짐은 트렁크에 실으면 될거같아.,荷物はトランクに乗せればいいと思う。
하나는 모자랄것같은데요.,一つは足りないと思うんですけど。
"저도 강아지 너무 키우고 싶은데, 부모님이 자꾸 반대해요.",私も犬をとても飼いたいのですが、両親がしきりに反対しています。
오늘은 다른 거 먹어보자.,今日はほかのものを食べてみよう。
우선 좀 볼께요.,とりあえず見てみますね。
나는 원피스수영복을 사고 싶은데 너는?,私はワンピースの水着を買いたいけど、あなたは?
계속 여행만 하면서 힐링하고파.,ずっと旅だけして癒されたい。
비행기타면 저녁 바로 줄거야.,飛行機に乗れば、夕食をすぐもらえるよ。
공원 한 바퀴 돌고 돌아오면 시간 딱 맞을듯?,公園一周して戻ってきたらピッタリだと思う。
그냥 자유여행이지.,ただの自由旅行だよ。
백화점은 귀국 전날에 가는게 좋지 않을까?,デパートは帰国の前日に行った方がいいと思う。
메뉴판에서 골라봐 뭐 먹을건데?,メニューから選んで、何を食べるの?
아직 시간 많은데 뭐 그리 급해.,まだ時間があるのに、何でそんなに急ぐの。
나는 열쇠고리를 사고싶어.,私はキーホルダーが買いたい。
그냥 두 봉지 주세요~,そのまま2袋ください~
치즈케이크는 없어요?,チーズケーキはありませんか?
나도 같이 검색하고 정보를 공유하자.,私も一緒に検索して情報を共有しましょう。
얼른 시작하렴.,早く始めなさい。
중국의 간단한 디저트?,中国の簡単なデザート?
서점을 가려고 합니다.여기 서점있나요?,本屋に行きたいです。こちらに本屋はありますか?
좋지 거기로 언제 구경 갈까?,いいね、いつあそこに見に行こうかな?
유제품은 C코너에 있습니다.,乳製品はCコーナーにございます。
그래그래 가서 시향해보고 득템하자.,わかった、行って試香してゲットしましょう。
"근처에 맛있는 뚱카롱 가게 있는데, 걸어가기엔 좀 멀더라고.",近くにおいしいトゥンカロンの店があるけど、歩るいて行くにはちょっと遠かった。
열심히 하고 오자.,一生懸命やってこよう。
저녁은 뭘로 먹을까?,夕食は何にする?
그러자 맛집은 여기서 멀어?,そうしよう。おいしい店はここから遠い?
그게 입맛에 잘 맞더라고.,それがお口によく合っていたよ。
응.라켓 빌리러 다녀올게.,はい。ラケットを借りに行ってきます。
내려올 때는 괜찮았어요?,降りるときは大丈夫でしたか?
공항에 순대국밥을 팔까.?,空港でスンデクッパを売ってるかな。
생각나는거 있어?,何か思い浮かぶのがある?
컷팅 해 주세요.,カットしてください。
그래도 혹시 모르니까 다시 한번 더 확인해보자.,それでも念のためもう一度確認してみよう。
조식먹고 올라가서 나는 양치해야겠다.,朝食を食べてから上がって私は歯磨きをしなければならない。
우리 어떤 메뉴를 주문할까?,私たちはどんなメニューを頼もうか?
난 너 없으면 운동도 못해.,私はあなたがいなきゃ運動もできない。
다음엔 패키지말고 자유여행으로 가자.,今度はパッケージではなく自由旅行に行こう。
"앞으로 상체, 하체운동 번갈아서 하자.",これから上半身、下半身運動を交互にしよう。
빠짐없이 준비해서 가자.,抜かりなく準備して行こう。
친절하게 안내도 해주시고요.,親切に案内もしてくださりますし。
아몬드 가루가.,アーモンドパウダーが。
여분의 키가 없네요.,合鍵がありませんね。
"그러면 순두부, 공기밥 그리고 돈까스로 주문 하시는 거 맞으시죠?",そうしますと、スンドゥブ、ライス、とんかつでよろしいでしょうか。
그거 써 본 사람들이 다들 엄청 촉촉하다고 하더라고.,それを使ったことがある人たちが、 みんなすごくしっとりしてるって言ってた。
영화관은 가지 말자고.,映画館には行かないようにしましょう。
전통미를 볼수 있는 곳이었으면 좋겠다!,伝統美が見られるところであってほしい!
밥먹고 바로자면 소화안되는데.,ご飯を食べてすぐ寝ると消化できないよ。
vip룸으로 부탁드립니다.,vipルームでお願いします。
글쎄 굉장히 오래 되었겠지?,さあ、とても古くなっただろうね。
버스카드야 당연히 있지.,バスカードならもちろんあるよ。
박력분 몇 그램이 필요한가요?,薄力粉は何グラムいりますか?
거기 전자파리채 있지 않아요?,そこに電子ハエたたきがあるのではないですか?
뭐가 유명한 음식이야?,何が有名な食べ物なの?
자꾸이렇게 할꺼야?,ずっとこうするの?
난 맛있더라구.,私はおいしかったよ。
그건 가능해.,それはできる。
우리 운동 따로 해야되겠네.,私たちは別々に運動しないとね。
뭐 다들 살빼러 오시는거니까요.,まあ、みんな痩せるために来られますからね。
건강식품 사드리려구.,健康食品を買ってあげようと思ってて。
소독약도 쓸 수 있을까요?,消毒薬も使えますか?
제가 갖고 오겠습니다.,私が持ってきます。
그러게 날씨가 이렇게 갑자기 바뀔 줄 몰랐네.,そうだね、こんな急に天気が変わるとは思わなかった。
창고 나올땐 문 닫구 나와주세요.,倉庫を出るときはドアを閉めてください。
앉아서 좀만 기다려주세요.,おかけになって少々お待ちください。
저기 화장실이 어디있나요?,あの、トイレはどこですか?
부산이 짱이에요.,釜山が一番です。
농담이고 식단까지 잘 짜드릴게요.,冗談ですし、メニューまでよく作りますよ。
혹시 매점은 어디에 있나요?,ちなみに売店はどこにありますか?
허리에 무리 안 가게 준비운동부터 하죠.,腰に無理がかからないように準備運動からしましょう。
"아뇨, 스트레칭부터 해주셔야 합니다.",いいえ、ストレッチからしてください。
타고 남산 돈까스도 먹을거에요.,乗って南山のとんかつも食べます。
그럼 지금 버스를 탈까요?,では、今からバスに乗りましょうか?
오랜만에 하는 데이트인데 조금 서운하다.,久しぶりのデートなのにちょっと寂しい。
친절하신 분이네요 감사합니다.,親切な方ですね、ありがとうございます。
오냐 아 그럼 나 가방 좀 잠깐 들어주라.,うん、私のカバンをちょっと持ってくれ。
그치그치 그렇게 하면되!,そうそう、そうすればいいんだ!
나 향수도 좀 사야하는데.,私、香水も買わなくちゃ。
다음에 랍스터 먹으러 가야겠다.,今度ロブスターを食べに行くよ。
내일 아침 10시 표로 2장 주세요.,明朝10時のチケットを二枚ください。
쳇 그런거냐 아쉽네 얻어먹으려고 했는데.,ちっ、そういうことか惜しい、おごってもらおうと思ったのに。
그것만 시키면 되는거야?,それだけ頼めばいいのか?
우리 둘째날 가볼까?,私たちは2日目に行ってみようか。
안주는 뭘로 드릴까요?,おつまみは何になさいますか。
아마 될거야.,たぶんできる。
꼭 챙겨!,必ず取りそろえて!
여기 반찬이 맛있어서 또 사러올께요.,ここのおかずが美味しかったので、また買いに来ます。
겨울은 안왔으면 좋겠어.,冬は来ないといい。
지금 버거킹으로 가서 주문하자.,今からバーガーキングに行って注文しよう。
예매하고 있을게 다녀와.,予約してるから、行ってきて。
나도 그래 왜 그럴까 모르겠어.,私もそうなんだ。なんでそうなのか分からない。
가서 정하는 걸로 하자.,行って決めることにしよう。
세수만 하고 올게~,顔を洗ってくるよ~
저거 타고 한 번 가보자~,あれに乗って一度行ってみよう〜
들어가는 재료가 꽤 많네요.,入る材料が結構多いですね。
그래도 여기까지 왔는데 조식은 먹어야지.,それでもここまで来たのに朝食は食べなければ。
"꾀병이라니, 무슨 말을 그렇게 해.",仮病とは、どういうことですか。
배를 타시면서 칵테일도 즐길 수 있어요.,船に乗りながらカクテルも楽しめます。
유럽 패키지는 거의 7시부터 일정이 시작돼.,ヨーロッパパッケージはほとんど7時から日程が始まるよ。
그렇구나 그렇구나 스카프나 사러 가자.,そうか、そうか、スカーフでも買いに行こう。
오른쪽으로 가신 후 스타벅스 매장 왼편에 있습니다.,右に行って、スターバックスの左側にあります。
젊을 때야 이럴 수 있으니 맘껏 돌아댕겨보자.,若いときにはこうすることができるから歩き回ってみよう。
너는 어떤거 사려고?,あなたは何を買うつもりなの?
다리운동부터 시작해보자.,足の運動から始めよう。
나는 우선 시원한 맥주 한 캔 먼저 마셨으면 좋겠어.,私はとりあえず、冷えたビールを一本飲みたい。
25개씩 3세트 했어!,25個ずつ3セットやった!
나도 화장품부터 살거야.,私も化粧品から買う。
코토는 몇살이에요?,コトはいくつですか?
너는 돌아다니는 걸 싫어하니까 호캉스가 맞긴 하겠다.,君は歩き回るのが苦手だから、確かホカンスに合いそう。
와 잘되었다 얼른 한라산 가자.,わー、よかった。早くハンラサンに行こうよ。
밥 먹을 시간은 없겠지?,ご飯を食べる時間はないだろうね。
알았어 근데 뭐 사줄거야?,分かった、でも何を買ってくれる?
바나나 3천원입니다.,バナナ3千ウォンです。
줄 기다리고있어 얼른다녀올게.,並んでいて、早く行ってくる。
저거 부터 타자.,あれから乗ろう。
나먼저 씻고 나올게.,私、先にシャワーしてくるよ。
불고기 먹을까?,プルゴギ食べようか?
오케이 김치찌개 좋아.,オーケー、キムチチゲいいよ。
불고기 먹어보고 싶네.,プルコギ食べてみたいな。
김치찌개 맛있겠다.,キムチチゲおいしそう。
인기제품이라 올때마다 없었거든요.,人気商品なので、来るたびになかったんです。
저기 있는 카페가는 거 어때?,あそこのカフェに行くのはどう?
맞아요 특가가 있어서 다행이네요.,そうですね、特価があって良かったですね。
방이 마침 있습니다 총 6분 방세개 예약 도와드리겠습니다.,部屋がちょうどあります、合計6名様に三つの部屋のご予約を手伝いたします。
드디어 네가 데이트비용을 내는 날이 오는구나.,ついに君がデートの費用を払う日が来るんだな。
그래.그럼 밥 먹고 갈래?,そうだね、じゃあご飯食べていく?
구미에서 경주는 가깝나요?,亀尾から慶州は近いのですか?
조금만 더 가면 여기서 유명한 식당이 있대.,もう少し先に行くとここで有名なレストランがあるそうよ。
가까운 편이에요 가보실려구요.,近いほうですよ、行ってみようと思います。
오늘은 내가 다 낼게 걱정 마.,今日は私が全部出すから心配するな。
어후 너무 좋아 서브웨이.,ああ、大好きだよ、サブウェイ。
너는 여전히 아기자기한거 좋아하는구나.,君は未だにこまごまとしていてかわいい物が好きなんだね。
나 시간 있어.,私は時間あるわ。
새로 나온 메뉴면 앞에서 판촉을 하고 있겠지.,新メニューなら、店頭で販促をしているだろう。
오늘은 체력이 넘칠거에요.,今日は体力がみなぎるでしょう。
저도 날씨가 너무 좋아서 나왔어요.,私も天気がとても良かったので出かけました。
오늘은 바다를 보러 가려고해요.,今日は海を見に行こうと思っています。
자 이렇게 천천히 따라해보세요.,どうぞ、このようにゆっくり真似してみてください。
나는 누나한테 부탁받은 화장품 사야해.,私は姉に頼まれた化粧品を買わなければならない。
저번 여행때 호텔에 여권을 두고와서 고생했었지.,この前の旅行の時、ホテルにパスポートを忘れてきて苦労したよね。
뚱카롱도 오늘 만들 수 있나요?,太ってるカロンも今日作れるんですか?
날씨 쌀쌀하니 목도리 챙기는거 잊지마.,天気が肌寒いからマフラーを忘れないで。
여기는 핫도그 유명한 가게가 근처에 있어.,ここにはホットドッグの有名店が近くにある。
내 생각이 짧았어.,私の考えが浅かった。
벌써부터 입에 침이 고이는데.,もう口に唾液がたまってくる。
음료수는 하나만 시킬까?,飲み物は一杯だけにしようか。
"아,그랬군요.지금은 많이 괜찮아졌나요?",ああ、そうだったんですね。今はだいぶ良くなっていますか?
열심히 공부했구나!,一生懸命に勉強したんだね!
오늘은 피곤해.,今日は疲れた。
"그러게, 요즘 자꾸 이상하게 말하네.",そうよね、最近よく変な話をしたりするよね。
버터는 어느정도 사용하나요?,バターはどれくらい入れますか。
중간중간 먹을 거는 챙겼어?,途中に何か食べ物持った?
저번에 가보니까 공항에도 있더라 맘스터치로 가자 그럼.,この前に行ってみたら空港にもあったよ、ではマムズタッチに行こう。
두개로 나눠 결제하고 싶네요.,2つに分けて支払いたいですね。
보너스도 받았으니 이번에 한 번 질러야지~,ボーナスももらったんだから、今回は一度大きく使わないと~
나는 콜라 아니면 환타 먹을꺼야.,私はコーラかファンタを飲む。
건강한 편이긴한데 병원에선 조금 빼라고 권유하더라고요.,健康な方ではありますが、病院からは少し痩せろと勧められました。
명심까지하지않아도 되요!,心掛けまでしなくてもいいですよ!
배우는게 즐겁네요.,学ぶのが楽しいですね。
밥도 네가 사는 걸로 하자.,ご飯も君がおごることにしましょう。
그냥 검색해보거나 식당에 들어가서 쉐프한테 물어보는편이 좋을것 같은데?,ただ検索してみるか、食堂に入ってシェフに聞いてみたほうがいいと思いますが?
"좋아, 영화는 내가 쏘도록 할게.",よし、映画は私がおごるとしよう。
